"","NACE1","NACE2","NACE3","NACE4","NACE.code","turnover","employees","turnover.prev","employees.prev"
"51","B - Mining and quarrying","06 - Extraction of crude petroleum and natural gas","06.1 - Extraction of crude petroleum","06.1.0 - Extraction of crude petroleum","0610",2874431.5240538,546,3474100.48029233,757
"53","B - Mining and quarrying","06 - Extraction of crude petroleum and natural gas","06.2 - Extraction of natural gas","06.2.0 - Extraction of natural gas","0620",2242681.39949266,411,2362694.57090412,498
"56","B - Mining and quarrying","08 - Other mining and quarrying","08.1 - Quarrying of stone, sand and clay","08.1.2 - Operation of gravel and sand pits; mining of clays and kaolin","0812",31352.4399783656,92,36761.3545009617,103
"58","B - Mining and quarrying","08 - Other mining and quarrying","08.9 - Mining and quarrying n.e.c.","08.9.2 - Extraction of peat","0892",361.599304589701,2,221.931214462931,2
"59","B - Mining and quarrying","08 - Other mining and quarrying","08.9 - Mining and quarrying n.e.c.","08.9.3 - Extraction of salt","0893",9133.82973725767,37,3939.50633757766,9
"60","B - Mining and quarrying","08 - Other mining and quarrying","08.9 - Mining and quarrying n.e.c.","08.9.9 - Other mining and quarrying n.e.c.","0899",48455.4196489963,223,50021.8754071812,207
"63","B - Mining and quarrying","09 - Mining support service activities","09.1 - Support activities for petroleum and natural gas extraction","09.1.0 - Support activities for petroleum and natural gas extraction","0910",605042.393044898,1534,548784.319328827,1004
"65","B - Mining and quarrying","09 - Mining support service activities","09.9 - Support activities for other mining and quarrying","09.9.0 - Support activities for other mining and quarrying","0990",921367.143205611,449.921321462532,1017660.10030644,397.035370694781
"69","C - Manufacturing","10 - Manufacture of food products","10.1 - Processing and preserving of meat and production of meat products","10.1.1 - Processing and preserving of meat","1011",230281.872450195,749,247178.545532349,809
"70","C - Manufacturing","10 - Manufacture of food products","10.1 - Processing and preserving of meat and production of meat products","10.1.2 - Processing and preserving of poultry meat","1012",318460.41733643,1307,377563.089176467,1264
"71","C - Manufacturing","10 - Manufacture of food products","10.1 - Processing and preserving of meat and production of meat products","10.1.3 - Production of meat and poultry meat products","1013",227926.787064383,957.704846937668,255203.381476189,861.105411550606
"73","C - Manufacturing","10 - Manufacture of food products","10.2 - Processing and preserving of fish, crustaceans and molluscs","10.2.0 - Processing and preserving of fish, crustaceans and molluscs","1020",139138.278243691,822,174675.935311431,944
"75","C - Manufacturing","10 - Manufacture of food products","10.3 - Processing and preserving of fruit and vegetables","10.3.1 - Processing and preserving of potatoes","1031",166593.771495627,793,281415.176705613,1026
"76","C - Manufacturing","10 - Manufacture of food products","10.3 - Processing and preserving of fruit and vegetables","10.3.2 - Manufacture of fruit and vegetable juice","1032",169342.08069702,459,156618.634279082,382
"77","C - Manufacturing","10 - Manufacture of food products","10.3 - Processing and preserving of fruit and vegetables","10.3.9 - Other processing and preserving of fruit and vegetables","1039",90183.1230523402,530,145672.926710138,831
"79","C - Manufacturing","10 - Manufacture of food products","10.4 - Manufacture of vegetable and animal oils and fats","10.4.1 - Manufacture of oils and fats","1041",809970.040911339,392,949039.528382004,505
"80","C - Manufacturing","10 - Manufacture of food products","10.4 - Manufacture of vegetable and animal oils and fats","10.4.2 - Manufacture of margarine and similar edible fats","1042",123242.096181811,230,140415.194193269,299
"82","C - Manufacturing","10 - Manufacture of food products","10.5 - Manufacture of dairy products","10.5.1 - Operation of dairies and cheese making","1051",1534202.72314958,3155,1789434.23123922,3341
"83","C - Manufacturing","10 - Manufacture of food products","10.5 - Manufacture of dairy products","10.5.2 - Manufacture of ice cream","1052",48909.7555396434,312,49111.7197075814,417
"85","C - Manufacturing","10 - Manufacture of food products","10.6 - Manufacture of grain mill products, starches and starch products","10.6.1 - Manufacture of grain mill products","1061",218051.094303195,700,218960.802658217,607
"86","C - Manufacturing","10 - Manufacture of food products","10.6 - Manufacture of grain mill products, starches and starch products","10.6.2 - Manufacture of starches and starch products","1062",333906.574557046,883,290275.65965537,747
"88","C - Manufacturing","10 - Manufacture of food products","10.7 - Manufacture of bakery and farinaceous products","10.7.1 - Manufacture of bread; manufacture of fresh pastry goods and cakes","1071",346667.346427626,4552,366395.052876929,4340
"89","C - Manufacturing","10 - Manufacture of food products","10.7 - Manufacture of bakery and farinaceous products","10.7.2 - Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes","1072",73518.9387923322,589,83565.2642991494,647
"90","C - Manufacturing","10 - Manufacture of food products","10.7 - Manufacture of bakery and farinaceous products","10.7.3 - Manufacture of macaroni, noodles, couscous and similar farinaceous products","1073",490.445962572853,8,336.027992923111,6
"92","C - Manufacturing","10 - Manufacture of food products","10.8 - Manufacture of other food products","10.8.1 - Manufacture of sugar","1081",65104.5215712793,147,93204.7114798686,199
"93","C - Manufacturing","10 - Manufacture of food products","10.8 - Manufacture of other food products","10.8.2 - Manufacture of cocoa, chocolate and sugar confectionery","1082",371746.572126132,1008,363800.280140055,949
"96","C - Manufacturing","10 - Manufacture of food products","10.8 - Manufacture of other food products","10.8.3 - Processing of tea and coffee","1083",281462.490761914,875,280021.351223079,844
"97","C - Manufacturing","10 - Manufacture of food products","10.8 - Manufacture of other food products","10.8.4 - Manufacture of condiments and seasonings","1084",154286.788179976,801,134289.966736273,668
"98","C - Manufacturing","10 - Manufacture of food products","10.8 - Manufacture of other food products","10.8.5 - Manufacture of prepared meals and dishes","1085",765857.375337653,5745,1005815.62428573,7526
"99","C - Manufacturing","10 - Manufacture of food products","10.8 - Manufacture of other food products","10.8.6 - Manufacture of homogenised food preparations and dietetic food","1086",768479.960378617,1527,841818.742457511,1557
"100","C - Manufacturing","10 - Manufacture of food products","10.8 - Manufacture of other food products","10.8.9 - Manufacture of other food products n.e.c.","1089",723528.833776653,2206,548274.378361684,1557
"102","C - Manufacturing","10 - Manufacture of food products","10.9 - Manufacture of prepared animal feeds","10.9.1 - Manufacture of prepared feeds for farm animals","1091",848654.712855464,1780,1026776.90869798,1691
"103","C - Manufacturing","10 - Manufacture of food products","10.9 - Manufacture of prepared animal feeds","10.9.2 - Manufacture of prepared pet foods","1092",88911.3423257942,359,100748.828783594,385
"106","C - Manufacturing","11 - Manufacture of beverages","11.0 - Manufacture of beverages","11.0.1 - Distilling, rectifying and blending of spirits","1101",96688.0576485842,253,70366.1596870094,189
"107","C - Manufacturing","11 - Manufacture of beverages","11.0 - Manufacture of beverages","11.0.2 - Manufacture of wine from grape","1102",0.238351489446761,1,20.8982229488251,1
"108","C - Manufacturing","11 - Manufacture of beverages","11.0 - Manufacture of beverages","11.0.3 - Manufacture of cider and other fruit wines","1103",4043.43762978986,17,2664.58135279577,13
"109","C - Manufacturing","11 - Manufacture of beverages","11.0 - Manufacture of beverages","11.0.4 - Manufacture of other non-distilled fermented beverages","1104",241998.131769686,1021.32223322919,276661.828588046,906.557512612596
"110","C - Manufacturing","11 - Manufacture of beverages","11.0 - Manufacture of beverages","11.0.5 - Manufacture of beer","1105",328943.320449003,858,387761.537250654,1006
"111","C - Manufacturing","11 - Manufacture of beverages","11.0 - Manufacture of beverages","11.0.6 - Manufacture of malt","1106",11400.2865255958,19,9221.13483881182,10
"112","C - Manufacturing","11 - Manufacture of beverages","11.0 - Manufacture of beverages","11.0.7 - Manufacture of soft drinks; production of mineral waters and other bottled waters","1107",214875.618881602,573,221884.936991065,545
"115","C - Manufacturing","12 - Manufacture of tobacco products","12.0 - Manufacture of tobacco products","12.0.0 - Manufacture of tobacco products","1200",1113196.22250866,1286,1258567.42009932,1335
"118","C - Manufacturing","13 - Manufacture of textiles","13.1 - Preparation and spinning of textile fibres","13.1.0 - Preparation and spinning of textile fibres","1310",4729.07659855863,56,10303.6641947356,95
"120","C - Manufacturing","13 - Manufacture of textiles","13.2 - Weaving of textiles","13.2.0 - Weaving of textiles","1320",45495.5676179194,317,36597.2283676438,279
"122","C - Manufacturing","13 - Manufacture of textiles","13.3 - Finishing of textiles","13.3.0 - Finishing of textiles","1330",47062.7752571826,471,50207.7449038897,453
"124","C - Manufacturing","13 - Manufacture of textiles","13.9 - Manufacture of other textiles","13.9.1 - Manufacture of knitted and crocheted fabrics","1391",6952.07164835371,79,7888.1403248905,82
"125","C - Manufacturing","13 - Manufacture of textiles","13.9 - Manufacture of other textiles","13.9.2 - Manufacture of made-up textile articles, except apparel","1392",22350.7705929978,228,22773.00151304,247
"126","C - Manufacturing","13 - Manufacture of textiles","13.9 - Manufacture of other textiles","13.9.3 - Manufacture of carpets and rugs","1393",196000.33137505,872,185908.942775066,682
"127","C - Manufacturing","13 - Manufacture of textiles","13.9 - Manufacture of other textiles","13.9.4 - Manufacture of cordage, rope, twine and netting","1394",1642.35107963679,18,1699.07398538071,16
"128","C - Manufacturing","13 - Manufacture of textiles","13.9 - Manufacture of other textiles","13.9.5 - Manufacture of non-wovens and articles made from non-wovens, except apparel","1395",28582.0807771694,211,31157.5193902836,218
"129","C - Manufacturing","13 - Manufacture of textiles","13.9 - Manufacture of other textiles","13.9.6 - Manufacture of other technical and industrial textiles","1396",20923.3395642145,138,19002.9299445124,123
"130","C - Manufacturing","13 - Manufacture of textiles","13.9 - Manufacture of other textiles","13.9.9 - Manufacture of other textiles n.e.c.","1399",14342.9405707099,99,13844.8974628148,94
"133","C - Manufacturing","14 - Manufacture of wearing apparel","14.1 - Manufacture of wearing apparel, except fur apparel","14.1.1 - Manufacture of leather clothes","1411",402.327936588904,13,7.01281881365418,1
"134","C - Manufacturing","14 - Manufacture of wearing apparel","14.1 - Manufacture of wearing apparel, except fur apparel","14.1.2 - Manufacture of workwear","1412",17251.7736604836,108,16772.2201506118,99
"135","C - Manufacturing","14 - Manufacture of wearing apparel","14.1 - Manufacture of wearing apparel, except fur apparel","14.1.3 - Manufacture of other outerwear","1413",15407.940200888,89,12328.5832783489,74
"136","C - Manufacturing","14 - Manufacture of wearing apparel","14.1 - Manufacture of wearing apparel, except fur apparel","14.1.4 - Manufacture of underwear","1414",3542.4443971238,23,1561.78037751631,7
"137","C - Manufacturing","14 - Manufacture of wearing apparel","14.1 - Manufacture of wearing apparel, except fur apparel","14.1.9 - Manufacture of other wearing apparel and accessories","1419",7044.30262703409,29,6367.50585396897,37
"139","C - Manufacturing","14 - Manufacture of wearing apparel","14.2 - Manufacture of articles of fur","14.2.0 - Manufacture of articles of fur","1420",167.471124632681,6,10.8347364313842,1
"141","C - Manufacturing","14 - Manufacture of wearing apparel","14.3 - Manufacture of knitted and crocheted apparel","14.3.1 - Manufacture of knitted and crocheted hosiery","1431",701.896871356729,10,775.764257204639,10
"142","C - Manufacturing","14 - Manufacture of wearing apparel","14.3 - Manufacture of knitted and crocheted apparel","14.3.9 - Manufacture of other knitted and crocheted apparel","1439",579.204046885217,14,236.531039708382,9
"145","C - Manufacturing","15 - Manufacture of leather and related products","15.1 - Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur","15.1.1 - Tanning and dressing of leather; dressing and dyeing of fur","1511",14950.4235367241,141,21391.9240687586,170
"146","C - Manufacturing","15 - Manufacture of leather and related products","15.1 - Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur","15.1.2 - Manufacture of luggage, handbags and the like, saddlery and harness","1512",9974.02936621115,113,12379.3606648371,93
"148","C - Manufacturing","15 - Manufacture of leather and related products","15.2 - Manufacture of footwear","15.2.0 - Manufacture of footwear","1520",16272.7471193474,102,15161.640248161,103
"151","C - Manufacturing","16 - Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","16.1 - Sawmilling and planing of wood","16.1.0 - Sawmilling and planing of wood","1610",89176.0239307179,524,127925.387331245,692
"155","C - Manufacturing","16 - Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","16.2 - Manufacture of products of wood, cork, straw and plaiting materials","16.2.1 - Manufacture of veneer sheets and wood-based panels","1621",8096.01234861266,54,11154.8014799084,63
"156","C - Manufacturing","16 - Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","16.2 - Manufacture of products of wood, cork, straw and plaiting materials","16.2.2 - Manufacture of assembled parquet floors","1622",230275.700270744,917.357083511713,257130.101633405,944.27321606833
"157","C - Manufacturing","16 - Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","16.2 - Manufacture of products of wood, cork, straw and plaiting materials","16.2.3 - Manufacture of other builders' carpentry and joinery","1623",217663.032855428,2229,283513.186491,2761
"160","C - Manufacturing","16 - Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","16.2 - Manufacture of products of wood, cork, straw and plaiting materials","16.2.4 - Manufacture of wooden containers","1624",30638.1409036016,261,38098.6244549528,275
"161","C - Manufacturing","16 - Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","16.2 - Manufacture of products of wood, cork, straw and plaiting materials","16.2.9 - Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials","1629",91810.1367450024,586,109764.486567181,773
"164","C - Manufacturing","17 - Manufacture of paper and paper products","17.1 - Manufacture of pulp, paper and paperboard","17.1.1 - Manufacture of pulp","1711",1145.99688362756,10,1816.81731541464,10
"165","C - Manufacturing","17 - Manufacture of paper and paper products","17.1 - Manufacture of pulp, paper and paperboard","17.1.2 - Manufacture of paper and paperboard","1712",258425.678360872,938,358869.991344899,1147
"170","C - Manufacturing","17 - Manufacture of paper and paper products","17.2 - Manufacture of articles of paper and paperboard","17.2.1 - Manufacture of corrugated paper and paperboard and of containers of paper and paperboard","1721",399408.444950006,3098,494961.161701127,3422
"173","C - Manufacturing","17 - Manufacture of paper and paper products","17.2 - Manufacture of articles of paper and paperboard","17.2.2 - Manufacture of household and sanitary goods and of toilet requisites","1722",60132.2304190963,207,52301.0674127768,175
"174","C - Manufacturing","17 - Manufacture of paper and paper products","17.2 - Manufacture of articles of paper and paperboard","17.2.3 - Manufacture of paper stationery","1723",20176.9680044554,184,27330.7928621871,240
"175","C - Manufacturing","17 - Manufacture of paper and paper products","17.2 - Manufacture of articles of paper and paperboard","17.2.4 - Manufacture of wallpaper","1724",9467.33761794125,81,12581.1626769302,94
"176","C - Manufacturing","17 - Manufacture of paper and paper products","17.2 - Manufacture of articles of paper and paperboard","17.2.9 - Manufacture of other articles of paper and paperboard","1729",111850.009581154,963,72434.2163410469,698
"179","C - Manufacturing","18 - Printing and reproduction of recorded media","18.1 - Printing and service activities related to printing","18.1.1 - Printing of newspapers","1811",44773.9831679431,321,34113.7451890231,226
"180","C - Manufacturing","18 - Printing and reproduction of recorded media","18.1 - Printing and service activities related to printing","18.1.2 - Other printing","1812",449729.423339969,4272,510491.430307066,4767
"187","C - Manufacturing","18 - Printing and reproduction of recorded media","18.1 - Printing and service activities related to printing","18.1.3 - Pre-press and pre-media services","1813",21499.0212787981,328,21921.4514715184,308
"188","C - Manufacturing","18 - Printing and reproduction of recorded media","18.1 - Printing and service activities related to printing","18.1.4 - Binding and related services","1814",31156.9504629838,396,28220.0788942059,327
"190","C - Manufacturing","18 - Printing and reproduction of recorded media","18.2 - Reproduction of recorded media","18.2.0 - Reproduction of recorded media","1820",96131.0256704914,1220,104749.444621207,1209
"193","C - Manufacturing","19 - Manufacture of coke and refined petroleum products","19.1 - Manufacture of coke oven products","19.1.0 - Manufacture of coke oven products","1910",3984795.47666042,2563,3442293.03597424,1952
"195","C - Manufacturing","19 - Manufacture of coke and refined petroleum products","19.2 - Manufacture of refined petroleum products","19.2.0 - Manufacture of refined petroleum products","1920",9911024.24611993,2390,8923428.06765908,2171
"200","C - Manufacturing","20 - Manufacture of chemicals and chemical products","20.1 - Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms","20.1.1 - Manufacture of industrial gases","2011",50785.507855343,69,78843.0132029964,180
"201","C - Manufacturing","20 - Manufacture of chemicals and chemical products","20.1 - Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms","20.1.2 - Manufacture of dyes and pigments","2012",147872.005110819,665,240878.657385912,751
"202","C - Manufacturing","20 - Manufacture of chemicals and chemical products","20.1 - Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms","20.1.3 - Manufacture of other inorganic basic chemicals","2013",229557.797587119,846,218155.328885958,708
"203","C - Manufacturing","20 - Manufacture of chemicals and chemical products","20.1 - Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms","20.1.4 - Manufacture of other organic basic chemicals","2014",3561614.63863283,2417,3943734.2576583,2368
"206","C - Manufacturing","20 - Manufacture of chemicals and chemical products","20.1 - Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms","20.1.5 - Manufacture of fertilisers and nitrogen compounds","2015",370237.345549355,664,400748.313607734,674
"207","C - Manufacturing","20 - Manufacture of chemicals and chemical products","20.1 - Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms","20.1.6 - Manufacture of plastics in primary forms","2016",3377133.02304587,4624,2978520.49782418,4171
"208","C - Manufacturing","20 - Manufacture of chemicals and chemical products","20.1 - Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms","20.1.7 - Manufacture of synthetic rubber in primary forms","2017",86531.9957111396,118,83720.0434519637,96
"210","C - Manufacturing","20 - Manufacture of chemicals and chemical products","20.2 - Manufacture of pesticides and other agrochemical products","20.2.0 - Manufacture of pesticides and other agrochemical products","2020",60744.992708443,119,54110.355827139,102
"212","C - Manufacturing","20 - Manufacture of chemicals and chemical products","20.3 - Manufacture of paints, varnishes and similar coatings, printing ink and mastics","20.3.0 - Manufacture of paints, varnishes and similar coatings, printing ink and mastics","2030",254609.970127256,1580,314868.1664282,1735
"214","C - Manufacturing","20 - Manufacture of chemicals and chemical products","20.4 - Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","20.4.1 - Manufacture of soap and detergents, cleaning and polishing preparations","2041",276252.88441318,1181,374928.702834401,1627
"215","C - Manufacturing","20 - Manufacture of chemicals and chemical products","20.4 - Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","20.4.2 - Manufacture of perfumes and toilet preparations","2042",51239.616264049,254,51847.1940216455,260
"217","C - Manufacturing","20 - Manufacture of chemicals and chemical products","20.5 - Manufacture of other chemical products","20.5.1 - Manufacture of explosives","2051",234132.830098896,1034.4295913484,237994.622188549,945.001286885534
"218","C - Manufacturing","20 - Manufacture of chemicals and chemical products","20.5 - Manufacture of other chemical products","20.5.2 - Manufacture of glues","2052",103541.647015349,478,89425.8903692636,410
"219","C - Manufacturing","20 - Manufacture of chemicals and chemical products","20.5 - Manufacture of other chemical products","20.5.3 - Manufacture of essential oils","2053",161040.688608751,781,164510.509151647,713
"220","C - Manufacturing","20 - Manufacture of chemicals and chemical products","20.5 - Manufacture of other chemical products","20.5.9 - Manufacture of other chemical products n.e.c.","2059",686729.395385627,2634,561396.628808516,1932
"222","C - Manufacturing","20 - Manufacture of chemicals and chemical products","20.6 - Manufacture of man-made fibres","20.6.0 - Manufacture of man-made fibres","2060",184691.925795316,762,208287.78520578,905
"225","C - Manufacturing","21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations","21.1 - Manufacture of basic pharmaceutical products","21.1.0 - Manufacture of basic pharmaceutical products","2110",57772.2273821128,192,61031.0184984762,159
"227","C - Manufacturing","21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations","21.2 - Manufacture of pharmaceutical preparations","21.2.0 - Manufacture of pharmaceutical preparations","2120",396896.682497882,1744,457093.494482383,1887
"230","C - Manufacturing","22 - Manufacture of rubber and plastic products","22.1 - Manufacture of rubber products","22.1.1 - Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres","2211",38623.0701462492,429,52810.7525676722,514
"231","C - Manufacturing","22 - Manufacture of rubber and plastic products","22.1 - Manufacture of rubber products","22.1.9 - Manufacture of other rubber products","2219",96503.6223236234,990,141136.276420018,1303
"233","C - Manufacturing","22 - Manufacture of rubber and plastic products","22.2 - Manufacture of plastics products","22.2.1 - Manufacture of plastic plates, sheets, tubes and profiles","2221",431545.914716097,2681,404684.233275126,2274
"234","C - Manufacturing","22 - Manufacture of rubber and plastic products","22.2 - Manufacture of plastics products","22.2.2 - Manufacture of plastic packing goods","2222",133334.777995689,947,139660.781253042,962
"235","C - Manufacturing","22 - Manufacture of rubber and plastic products","22.2 - Manufacture of plastics products","22.2.3 - Manufacture of builders' ware of plastic","2223",114158.393280781,1109,147695.155771127,1343
"236","C - Manufacturing","22 - Manufacture of rubber and plastic products","22.2 - Manufacture of plastics products","22.2.9 - Manufacture of other plastic products","2229",179404.664568837,1704,173228.017012538,1597
"239","C - Manufacturing","23 - Manufacture of other non-metallic mineral products","23.1 - Manufacture of glass and glass products","23.1.1 - Manufacture of flat glass","2311",15094.0523954234,67,21021.1283757113,134
"240","C - Manufacturing","23 - Manufacture of other non-metallic mineral products","23.1 - Manufacture of glass and glass products","23.1.2 - Shaping and processing of flat glass","2312",48678.4009770498,386,38831.9262559538,216
"241","C - Manufacturing","23 - Manufacture of other non-metallic mineral products","23.1 - Manufacture of glass and glass products","23.1.3 - Manufacture of hollow glass","2313",43844.4405004434,299,51748.60788044,314
"242","C - Manufacturing","23 - Manufacture of other non-metallic mineral products","23.1 - Manufacture of glass and glass products","23.1.4 - Manufacture of glass fibres","2314",32422.177358051,278,33503.3983871636,271
"243","C - Manufacturing","23 - Manufacture of other non-metallic mineral products","23.1 - Manufacture of glass and glass products","23.1.9 - Manufacture and processing of other glass, including technical glassware","2319",3461.11475775617,68,6528.75233581358,81
"245","C - Manufacturing","23 - Manufacture of other non-metallic mineral products","23.2 - Manufacture of refractory products","23.2.0 - Manufacture of refractory products","2320",17885.2963202549,124,18977.9786224767,115
"247","C - Manufacturing","23 - Manufacture of other non-metallic mineral products","23.3 - Manufacture of clay building materials","23.3.1 - Manufacture of ceramic tiles and flags","2331",22602.4638179159,241,20627.3229812773,186
"248","C - Manufacturing","23 - Manufacture of other non-metallic mineral products","23.3 - Manufacture of clay building materials","23.3.2 - Manufacture of bricks, tiles and construction products, in baked clay","2332",60659.5528972195,489,85042.2639904879,655
"250","C - Manufacturing","23 - Manufacture of other non-metallic mineral products","23.4 - Manufacture of other porcelain and ceramic products","23.4.1 - Manufacture of ceramic household and ornamental articles","2341",3161.7980799531,50,2557.20523672737,36
